c_Meses,Descripción,Fecha inicio de vigencia,Fecha fin de vigencia,,,,,,,,
01,Enero,1/1/22,,,,,,,,,
02,Febrero,1/1/22,,,,,,,,,
03,Marzo,1/1/22,,,,,,,,,
04,Abril,1/1/22,,,,,,,,,
05,Mayo,1/1/22,,,,,,,,,
06,Junio,1/1/22,,,,,,,,,
07,Julio,1/1/22,,,,,,,,,
08,Agosto,1/1/22,,,,,,,,,
09,Septiembre,1/1/22,,,,,,,,,
10,Octubre,1/1/22,,,,,,,,,
11,Noviembre,1/1/22,,,,,,,,,
12,Diciembre,1/1/22,,,,,,,,,
13,Enero-Febrero,1/1/22,,,,,,,,,
14,Marzo-Abril,1/1/22,,,,,,,,,
15,Mayo-Junio,1/1/22,,,,,,,,,
16,Julio-Agosto,1/1/22,,,,,,,,,
17,Septiembre-Octubre,1/1/22,,,,,,,,,
18,Noviembre-Diciembre,1/1/22,,,,,,,,,
