payment_code,description,bank,operation_code,tax_id_sender,account_requester,account_pattern,tax_id_receiver,account_receiver,account_receiver_pattern,payment_type,forigen_account,start_date,end_date
01,Efectivo,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
02,Cheque nominativo,Sí,Opcional,Opcional,Opcional,[0-9]{11}|[0-9]{18},Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",No,"Si el RFC del emisor de la cuenta ordenante es XEXX010101000, este campo es obligatorio.",1/1/22,
03,Transferencia electrónica de fondos,Sí,Opcional,Opcional,Opcional,[0-9]{10}|[0-9]{16}|[0-9]{18},Opcional,Opcional,[0-9]{10}|[0-9]{18},Opcional,"Si el RFC del emisor de la cuenta ordenante es XEXX010101000, este campo es obligatorio.",1/1/22,
04,Tarjeta de crédito,Sí,Opcional,Opcional,Opcional,[0-9]{16},Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",No,"Si el RFC del emisor de la cuenta ordenante es XEXX010101000, este campo es obligatorio.",1/1/22,
05,Monedero electrónico,Sí,Opcional,Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",No,No,1/1/22,
06,Dinero electrónico,Sí,Opcional,Opcional,Opcional,[0-9]{10},No,No,No,No,No,1/1/22,
08,Vales de despensa,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
12,Dación en pago,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
13,Pago por subrogación,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
14,Pago por consignación,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
15,Condonación,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
17,Compensación,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
23,Novación,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
24,Confusión,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
25,Remisión de deuda,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
26,Prescripción o caducidad,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
27,A satisfacción del acreedor,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
28,Tarjeta de débito,Sí,Opcional,Opcional,Opcional,[0-9]{16},Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",No,"Si el RFC del emisor de la cuenta ordenante es XEXX010101000, este campo es obligatorio.",1/1/22,
29,Tarjeta de servicios,Sí,Opcional,Opcional,Opcional,"[0-9]{15,16}",Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",No,"Si el RFC del emisor de la cuenta ordenante es XEXX010101000, este campo es obligatorio.",1/1/22,
30,Aplicación de anticipos,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
31,Intermediario pagos,No,Opcional,No,No,No,No,No,No,No,No,1/1/22,
99,Por definir,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,1/1/22,
